« « Fra   	NONE	1
brocas broca NCFP000   	NONE	1
» » Frc   	NONE	1
com com SPS00   	NONE	1
que que PR0CN000   	NONE	1
ainda ainda RG   	NONE	1
hoje hoje RG   	NONE	1
os o DA0MP0   	NONE	1
seus seu DP3MPS   	NONE	1
descendentes descendente NCCP000   	NONE	1
em em SPS00   	NONE	1
Villa villa NP00000   	NONE	1
Real real NP00000   	POSITIVE	0.999355417014977
são ser VMIP3P0   	NONE	1
conhecidos conhecido NCMP000   	NONE	1

. . Fp   	NONE	1
Bem bem RG   	POSITIVE	0.987107171635778
ou ou CC   	NONE	1
mal mal RG   	NEGATIVE	0.99994252414417
derivado derivado NCMS000   	NONE	1
, , Fc   	NONE	1
o o DA0MS0   	NONE	1
epíteto epíteto NCMS000   	NONE	1
_brocas_ _brocas_ AQ0000   	NONE	1
vem vir VMIP3S0   	NONE	1
de de SPS00   	NONE	1
_brôa_ _brôa_ NC00000   	NONE	1

. . Fp   	NONE	1
Entenderam entender VMIS3P0   	POSITIVE	0.993233300967958
os o DA0MP0   	NONE	1
academicos academicos NC00000   	NONE	1
que que CS   	NONE	1
a o DA0FS0   	NONE	1
rudeza rudeza NCFS000   	NEGATIVE	0.999982975785681
de de SPS00   	NONE	1
seu seu DP3MSS   	NONE	1
condiscipulo condiscipulo NC00000   	NONE	1
procedia proceder VMII3S0   	NONE	1
de de SPS00   	NONE	1
muito muito DI0MS0   	NONE	1
pão pão NCMS000   	NONE	1
de de SPS00   	NONE	1
milho milho NCMS000   	NONE	1
que que PR0CN000   	NONE	1
ele ele PP3MS000   	NONE	1
digeria digerir VMII3S0   	NONE	1
em em SPS00   	NONE	1
a o DA0FS0   	NONE	1
sua seu DP3FSS   	NONE	1
terra terra NCFS000   	NONE	1

. . Fp   	NONE	1
< blank > < blank > Fp   	NONE	1
Domingos domingo NCMP000   	NONE	1
Botelho botelho NP00000   	NONE	1
devia dever VMII3S0   	NONE	1
ter ter VMN03S0   	NONE	1
uma um DI0FS0   	NONE	1
vocação vocação NCFS000   	NONE	1
qualquer qualquer PI0CS000   	NONE	1
; ; Fx   	NONE	1
e e CC   	NONE	1
tinha ter VMII3S0   	NONE	1
: : Fd   	NONE	1
era ser VMII3S0   	NONE	1
excellenle excellenle AQ0000   	NONE	1
flautista flautista NCCS000   	NONE	1
; ; Fx   	NONE	1
foi ser VMIS3S0   	NONE	1
a o DA0FS0   	NONE	1
primeira primeiro AO0FS0   	NONE	1
flauta flauta NCFS000   	NONE	1
de de SPS00   	NONE	1
seu seu DP3MSS   	NONE	1
tempo tempo NCMS000   	NONE	1
; ; Fx   	NONE	1
e e CC   	NONE	1
a o DA0FS0   	NONE	1
tocar tocar NCMS000   	NONE	1
flauta flautar VMIP3S0   	NONE	1
se se PP3CN000   	NONE	1
sustentou sustentar VMIS3S0   	NONE	1
dois dois Z   	NONE	1
anos ano NCMP000   	NONE	1
em em SPS00   	NONE	1
Coimbra coimbra NP00000   	NONE	1
, , Fc   	NONE	1
durante durante SPS00   	NONE	1
os o PD0MP000   	NONE	1
quais qual PR0CP000   	NONE	1
seu seu NCMS000   	NONE	1
pae pae VMI0000   	NONE	1
lhe lhe PP3CSD00   	NONE	1
suspendeu suspender VMIS3S0   	NEGATIVE	0.998565082958294
as o DA0FP0   	NONE	1
mesadas mesada NCFP000   	NONE	1
, , Fc   	NONE	1
porque porque CS   	NONE	1
os o DA0MP0   	NONE	1
rendimentos rendimento NCMP000   	POSITIVE	0.999991626099726
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
casa casa NCFS000   	NONE	1
não não RN   	NONE	1
bastavam bastar VMII3P0   	NONE	1
a o PP3FSA00   	NONE	1
livrar livrar VMN03S0   	NONE	1
outro outro DI0MS0   	NONE	1
filho filho NCMS000   	NONE	1
de de SPS00   	NONE	1
um um DI0MS0   	NONE	1
crime crime NCMS000   	NEGATIVE	0.999982975785681
de de SPS00   	NONE	1
morte morte NCFS000   	NEGATIVE	0.999982975785681
\ \ Fh   	NONE	1
[ [ Fca   	NONE	1
1 1 Z   	NONE	1
\ \ Fh   	NONE	1
] ] Fct   	NONE	1

. . Fp   	NONE	1
< blank > < blank > Fp   	NONE	1
Formara formar VMIM3S0   	NONE	1
se se CS   	NONE	1
Domingos domingos NP00000   	NONE	1
Botelho botelho NP00000   	NONE	1
em em SPS00   	NONE	1
1767 1767 Z   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
fora fora RG   	NONE	1
para para SPS00   	NONE	1
Lisboa lisboa NP00000   	NONE	1
ler ler VMN03S0   	NONE	1
em em SPS00   	NONE	1
o o DA0MS0   	NONE	1
desembargo desembargo NCMS000   	NONE	1
de de SPS00   	NONE	1
paço paço NCMS000   	NONE	1
, , Fc   	NONE	1
iniciação iniciação NCFS000   	NONE	1
banal banal AQ0CS0   	NEGATIVE	0.999982975785681
de de SPS00   	NONE	1
os o PD0MP000   	NONE	1
que que PR0CN000   	NONE	1
aspiravam aspirar VMII3P0   	POSITIVE	0.999991626099726
a a SPS00   	NONE	1
a o DA0FS0   	NONE	1
carreira carreira NCFS000   	NONE	1
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
magistratura magistratura NCFS000   	NONE	1

. . Fp   	NONE	1
Já já RG   	NONE	1
Fernão fernão NP00000   	NONE	1
Botelho botelho NP00000   	NONE	1
, , Fc   	NONE	1
pae pae NC00000   	NONE	1
de de SPS00   	NONE	1
bacharel bacharel NCMS000   	NONE	1
, , Fc   	NONE	1
fora fora RG   	NONE	1
bem bem RG   	POSITIVE	0.987107171635778
acceite acceite NC00000   	NONE	1
em em SPS00   	NONE	1
Lisboa lisboa NP00000   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
mórmente mórmente RG   	NONE	1
a a SPS00   	NONE	1
o o DA0MS0   	NONE	1
duque duque NCMS000   	NONE	1
de de SPS00   	NONE	1
Aveiro aveiro NP00000   	NONE	1
, , Fc   	NONE	1
cuja cujo PR0FS000   	NONE	1
estima estimar VMIP3S0   	NONE	1
lhe lhe PP3CSD00   	NONE	1
teve ter VMIS3S0   	NONE	1
a o DA0FS0   	NONE	1
cabeça cabeça NCFS000   	NONE	1
em em SPS00   	NONE	1
risco risco NCMS000   	NONE	1
, , Fc   	NONE	1
em em SPS00   	NONE	1
a o DA0FS0   	NONE	1
tentativa tentativa NCFS000   	NONE	1
regicida regicida NCCS000   	NONE	1
de de SPS00   	NONE	1
1758 1758 Z   	NONE	1

. . Fp   	NONE	1
O o DA0MS0   	NONE	1
provinciano provinciano NCMS000   	NONE	1
sahiu sahiu AQ0000   	NONE	1
de de SPS00   	NONE	1
as o DA0FP0   	NONE	1
masmorras masmorra NCFP000   	NEGATIVE	0.999982975785681
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
Junqueira junqueira NP00000   	NONE	1
illibado illibado VMP0000   	NONE	1
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
infamante infamante AQ0CS0   	NEGATIVE	0.999982975785681
nodoa nodoar VMIP3S0   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
bem-quisto bem-querer VMP00SM   	NONE	1
mesmo mesmo RG   	NONE	1
de de SPS00   	NONE	1
conde conde NCMS000   	NONE	1
de de SPS00   	NONE	1
Oeiras oeiras NP00000   	NONE	1
, , Fc   	NONE	1
porque porque CS   	NONE	1
tomara tomar VMIM3S0   	NONE	1
parte parte NCFS000   	NONE	1
em em SPS00   	NONE	1
a o DA0FS0   	NONE	1
prova prova NCFS000   	NONE	1
que que PR0CN000   	NONE	1
este este PD0MS000   	NONE	1
fizera fazer VMIM3S0   	NONE	1
de de SPS00   	NONE	1
primor primor NCMS000   	POSITIVE	0.999991626099726
de de SPS00   	NONE	1
sua seu DP3FSS   	NONE	1
genealogia genealogia NCFS000   	NONE	1
sobre sobre SPS00   	NONE	1
a o PD0FS000   	NONE	1
de de SPS00   	NONE	1
os o DA0MP0   	NONE	1
Pintos pintos NP00000   	NONE	1
Coelhos coelhos NP00000   	NONE	1
de de SPS00   	NONE	1
Bomjardim bomjardim NP00000   	NONE	1
de de SPS00   	NONE	1
Porto porto NP00000   	NONE	1
: : Fd   	NONE	1
pleito pleito NCMS000   	NONE	1
ridiculo ridiculo AQ0000   	NONE	1
, , Fc   	NONE	1
mas mas CC   	NONE	1
estrondoso estrondoso AQ0MS0   	NONE	1
, , Fc   	NONE	1
movido mover VMP00SM   	NONE	1
por por SPS00   	NONE	1
a o DA0FS0   	NONE	1
recusa recusa NCFS000   	NEGATIVE	0.999982975785681
que que PR0CN000   	NONE	1
o o DA0MS0   	NONE	1
fidalgo fidalgo NCMS000   	NONE	1
portuense portuense AQ0CS0   	NONE	1
fizera fazer VMIM3S0   	NONE	1
de de SPS00   	NONE	1
sua seu PX3FS0S0   	NONE	1
filha filho NCFS000   	NONE	1
a a SPS00   	NONE	1
o o DA0MS0   	NONE	1
filho filho NCMS000   	NONE	1
de de SPS00   	NONE	1
Sebastião sebastião NP00000   	NONE	1
José josé NP00000   	NONE	1
de de SPS00   	NONE	1
Carvalho carvalho NP00000   	NONE	1

. . Fp   	NONE	1
< blank > < blank > Fp   	NONE	1
As o DA0FP0   	NONE	1
artes arte NCFP000   	NONE	1
com com SPS00   	NONE	1
que que CS   	NONE	1
o o DA0MS0   	NONE	1
bacharel bacharel NCMS000   	NONE	1
flautista flautista NCCS000   	NONE	1
vingou vingar VMIS3S0   	NEGATIVE	0.999982975785681
insinuar insinuar VMN03S0   	NONE	1
se se PP3CN000   	NONE	1
em em SPS00   	NONE	1
a o DA0FS0   	NONE	1
estima estima NCFS000   	POSITIVE	0.999780231585851
de de SPS00   	NONE	1

D . d. NP00000   	NONE	1
Maria maria NP00000   	NONE	1
I 1 Z   	NONE	1
e e CC   	NONE	1
Pedro pedro NP00000   	NONE	1
III 3 Z   	NONE	1
não não RN   	NONE	1
as o PP3FPA00   	NONE	1
sei saber VMIP1S0   	NONE	1
eu eu PP1CSN00   	NONE	1

. . Fp   	NONE	1
É ser VMIP3S0   	NONE	1
tradição tradição NCFS000   	NONE	1
que que PR0CN000   	NONE	1
o o DA0MS0   	NONE	1
homem homem NCMS000   	NONE	1
fazia fazer VMII3S0   	NONE	1
rir rir VMN03S0   	POSITIVE	0.999637319793272
a o DA0FS0   	NONE	1
rainha rainha NCFS000   	NONE	1
com com SPS00   	NONE	1
as o DA0FP0   	NONE	1
suas seu DP3FSP   	NONE	1
facecias facecias NC00000   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
por por SPS00   	NONE	1
ventura ventura NCFS000   	POSITIVE	0.997582431767311
com com SPS00   	NONE	1
os o DA0MP0   	NONE	1
tregeitos tregeitos NC00000   	NONE	1
de de SPS00   	NONE	1
que que PR0CN000   	NONE	1
tirava tirar VMII3S0   	NONE	1
o o DA0MS0   	NONE	1
melhor melhor AQ0CS0   	NONE	1
de de SPS00   	NONE	1
seu seu DP3MSS   	NONE	1
espírito espírito NCMS000   	NONE	1

. . Fp   	NONE	1
O o DA0MS0   	NONE	1
certo certo NCMS000   	POSITIVE	0.999355417014977
está estar VMIP3S0   	NONE	1
que que CS   	NONE	1
Domingos domingos NP00000   	NONE	1
Botelho botelho NP00000   	NONE	1
frequentava frequentar VMII3S0   	NONE	1
o o DA0MS0   	NONE	1
paço paço NCMS000   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
recebia receber VMII3S0   	NONE	1
de de SPS00   	NONE	1
bolsinho bolso NCMS00D   	NONE	1
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
soberana soberano NCFS000   	NONE	1
uma um DI0FS0   	NONE	1
farta farta NCFS000   	NONE	1
pensão pensão NCFS000   	NONE	1
, , Fc   	NONE	1
com com SPS00   	NONE	1
a a SPS00   	NONE	1
qual qual PT0CS000   	NONE	1
o o DA0MS0   	NONE	1
aspirante aspirante NCMS000   	NONE	1
a o DA0FS0   	NONE	1
juiz juiz NCMS000   	NONE	1
de de SPS00   	NONE	1
fora fora RG   	NONE	1
se se PP3CN000   	NONE	1
esqueceu esquecer VMIS3S0   	NONE	1
de de SPS00   	NONE	1
si si PP3CSO00   	NONE	1
, , Fc   	NONE	1
de de SPS00   	NONE	1
futuro futuro NCMS000   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
de de SPS00   	NONE	1
ministro ministro NCMS000   	NONE	1
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
justiça justiça NCFS000   	NONE	1
, , Fc   	NONE	1
que que CS   	NONE	1
muito muito RG   	NONE	1
rogado rogar VMP00SM   	NONE	1
fiara fiar VMIM3S0   	NONE	1
de de SPS00   	NONE	1
as o DA0FP0   	NONE	1
suas seu DP3FSP   	NONE	1
letras letra NCFP000   	NONE	1
o o PP3MSA00   	NONE	1
encargo encargar VMIP1S0   	NONE	1
de de SPS00   	NONE	1
juiz juiz NCMS000   	NONE	1
de de SPS00   	NONE	1
fora fora RG   	NONE	1
de de SPS00   	NONE	1
Cascaes cascaes NP00000   	NONE	1

. . Fp   	NONE	1
< blank > < blank > Fp   	NONE	1
Já já RG   	NONE	1
está estar VMIP3S0   	NONE	1
dito dizer VMP00SM   	NONE	1
que que CS   	NONE	1
ele ele PP3MS000   	NONE	1
se se PP3CN000   	NONE	1
atreveu atrever VMIS3S0   	NONE	1
a a SPS00   	NONE	1
os o DA0MP0   	NONE	1
amores amor NCMP000   	POSITIVE	0.997426644283833
de de SPS00   	NONE	1
paço paço NCMS000   	NONE	1
, , Fc   	NONE	1
não não RN   	NONE	1
poetando poetar VMG0000   	NONE	1
como como CS   	NONE	1
Luiz luiz NP00000   	NONE	1
de de SPS00   	NONE	1
Camões camões NP00000   	NONE	1
ou ou CC   	NONE	1
Bernardim bernardim NP00000   	NONE	1
Ribeiro ribeiro NP00000   	NONE	1
; ; Fx   	NONE	1
mas mas CC   	NONE	1
namorando namorar VMG0000   	NONE	1
em em SPS00   	NONE	1
a o DA0FS0   	NONE	1
sua seu PX3FS0S0   	NONE	1
prosa prosa NCFS000   	NONE	1
provinciana provinciano AQ0FS0   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
captando captar VMG0000   	NONE	1
a o DA0FS0   	NONE	1
bem-querença bem-querença NC00000   	NONE	1
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
rainha rainha NCFS000   	NONE	1
para para SPS00   	NONE	1
amolecer amolecer VMN03S0   	NONE	1
as o DA0FP0   	NONE	1
durezas dureza NCFP000   	NEGATIVE	0.999982975785681
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
dama dama NCFS000   	NONE	1

. . Fp   	NONE	1
Devia dever VMII3S0   	NONE	1
de de SPS00   	NONE	1
ser ser VMN03S0   	NONE	1
, , Fc   	NONE	1
a o DA0FS0   	NONE	1
final final NCMS000   	NONE	1
, , Fc   	NONE	1
feliz feliz AQ0CS0   	POSITIVE	0.999959689203761
o o DA0MS0   	NONE	1
« « Fra   	NONE	1
doutor doutor NCMS000   	NONE	1
bexiga bexiga NCFS000   	NONE	1
» » Frc   	NONE	1
—que —que NC00000   	NONE	1
assim assim RG   	NONE	1
era ser VMII3S0   	NONE	1
em em SPS00   	NONE	1
a o DA0FS0   	NONE	1
corte corte NCMS000   	NONE	1
conhecido—para conhecido—para VMSI000   	NONE	1
se se PP3CN000   	NONE	1
não não RN   	NONE	1
desconcertar desconcertar VMN03S0   	NEGATIVE	0.999982975785681
a o DA0FS0   	NONE	1
discordia discordia NC00000   	NONE	1
em em SPS00   	NONE	1
que que PR0CN000   	NONE	1
andam andar VMIP3P0   	NONE	1
rixados rixar VMP00PM   	NEGATIVE	0.999982975785681
o o DA0MS0   	NONE	1
talento talento NCMS000   	POSITIVE	0.999991626099726
e e CC   	NONE	1
a o DA0FS0   	NONE	1
felicidade felicidade NCFS000   	POSITIVE	0.999991626099726

. . Fp   	NONE	1
Domingos domingo NCMP000   	NONE	1
Botelho botelho NP00000   	NONE	1
casou casar VMIS3S0   	NONE	1
com com SPS00   	NONE	1

D . d. NP00000   	NONE	1
Rita rita NP00000   	NONE	1
Preciosa preciosa NP00000   	POSITIVE	0.999991626099726

. . Fp   	NONE	1
Rita rita NP00000   	NONE	1
era ser VMII3S0   	NONE	1
uma um DI0FS0   	NONE	1
formosura formosura NCFS000   	POSITIVE	0.999991626099726
que que PR0CN000   	NONE	1
ainda ainda RG   	NONE	1
a a SPS00   	NONE	1
os o DA0MP0   	NONE	1
cinquenta cinquenta Z   	NONE	1
anos ano NCMP000   	NONE	1
se se PP3CN000   	NONE	1
podia poder VMII3S0   	NONE	1
presar presar VMN03S0   	NONE	1
de de SPS00   	NONE	1
o o DA0MS0   	NONE	1
ser ser NCMS000   	NONE	1

. . Fp   	NONE	1
E e CC   	NONE	1
não não RN   	NONE	1
tinha ter VMII3S0   	NONE	1
outro outro DI0MS0   	NONE	1
dote dote NCMS000   	NONE	1
, , Fc   	NONE	1
se se CS   	NONE	1
não não RN   	NONE	1
está estar VMIP3S0   	NONE	1
dote dote NCMS000   	NONE	1
uma um AQ0FS0   	NONE	1
serie seriar VMSP3S0   	NONE	1
de de SPS00   	NONE	1
avoengos avoengo NCMP000   	NONE	1
, , Fc   	NONE	1
uns um DI0MP0   	NONE	1
bispos bispo NCMP000   	NONE	1
, , Fc   	NONE	1
outros outro DI0MP0   	NONE	1
generais general NCMP000   	NONE	1
, , Fc   	NONE	1
e e CC   	NONE	1
entre entre SPS00   	NONE	1
estes este PD0MP000   	NONE	1
o o PD0MS000   	NONE	1
que que PR0CN000   	NONE	1
morrêra morrêra VMI0000   	NONE	1
frigido frigir VMP00SM   	NONE	1
em em SPS00   	NONE	1
caldeirão caldeira NCMS00A   	NONE	1
de de SPS00   	NONE	1
não não RN   	NONE	1
sei saber VMIP1S0   	NONE	1
que que CS   	NONE	1
terra terra NCFS000   	NONE	1
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
mourisma mourisma NCFS000   	NONE	1
; ; Fx   	NONE	1
gloria gloriar VMIP3S0   	NONE	1
, , Fc   	NONE	1
em em SPS00   	NONE	1
a o DA0FS0   	NONE	1
verdade verdade NCFS000   	POSITIVE	0.99983877631221
, , Fc   	NONE	1
um um DI0MS0   	NONE	1
pouco pouco RG   	NONE	1
ardente ardente AQ0CS0   	NONE	1
; ; Fx   	NONE	1
mas mas CC   	NONE	1
de de SPS00   	NONE	1
tal tal DI0CS0   	NONE	1
monta monta NCFS000   	NONE	1
que que PR0CN000   	NONE	1
os o DA0MP0   	NONE	1
descendentes descendente NCCP000   	NONE	1
de de SPS00   	NONE	1
general general NCMS000   	NONE	1
frito fritar VMIP1S0   	NONE	1
se se PP3CN000   	NONE	1
assignaram assignaram VMI0000   	NONE	1
_Caldeirões_ _Caldeirões_ NC00000   	NONE	1

. . Fp   	NONE	1
< blank > < blank > Fp   	NONE	1
A o DA0FS0   	NONE	1
dama dama NCFS000   	NONE	1
de de SPS00   	NONE	1
paço paço NCMS000   	NONE	1
não não RN   	NONE	1
foi ser VMIS3S0   	NONE	1
ditosa ditoso AQ0FS0   	POSITIVE	0.999991626099726
com com SPS00   	NONE	1
o o DA0MS0   	NONE	1
marido marido NCMS000   	NONE	1

. . Fp   	NONE	1
Molestavam molestar VMII3P0   	NEGATIVE	0.999982975785681
a o DA0FS0   	NONE	1
saudades saudade NCFP000   	NONE	1
de de SPS00   	NONE	1
a o DA0FS0   	NONE	1
corte corte NCMS000   	NONE	1
, , Fc   	NONE	1
de de SPS00   	NONE	1
as o DA0FP0   	NONE	1
pompas pompa NCFP000   	NONE	1
de de SPS00   	NONE	1
as o PP3FPA00   	NONE	1
camaras camar VMIM2S0   	NONE	1
reais real AQ0CP0   	POSITIVE	0.999355417014977
, , Fc   	NONE	1
e e CC   	NONE	1
de de SPS00   	NONE	1
os o DA0MP0   	NONE	1
amores amor NCMP000   	POSITIVE	0.997426644283833
de de SPS00   	NONE	1
sua seu DP3FSS   	NONE	1
feição feição NCFS000   	NONE	1
